lot_name,lot_number,wafer,row,col,pos,reticle,efuse_id,date,pass_fail,bandgap,adc_ref,ro_del,ro_inv,temp
NB1T58,22,5,7,9,0,57,808633657,2025-06-18,1,274,6,528,5728,812
NB1T58,22,5,7,10,0,58,1077069114,2025-06-18,1,280,8,526,5641,830
NB1T58,22,5,7,11,0,59,674415931,2025-06-18,1,277,5,526,5909,794
NB1T58,22,5,7,12,0,60,1613940028,2025-06-18,1,271,12,530,6167,880
NB1T58,22,5,6,13,0,61,1077069117,2025-06-18,1,274,8,531,6198,820
NB1T58,22,5,6,12,0,62,1211286846,2025-06-18,1,274,9,525,5806,825
NB1T58,22,5,6,11,0,63,1613940031,2025-06-18,1,270,12,522,5820,837
NB1T58,22,5,6,10,0,64,1077069120,2025-06-18,1,279,8,526,5857,827
NB1T58,22,5,6,9,0,65,1613940033,2025-06-18,1,276,12,529,5818,867
NB1T58,22,5,6,8,0,66,1077069122,2025-06-18,1,277,8,534,6032,815
NB1T58,22,5,6,7,0,67,808633667,2025-06-18,1,277,6,536,5886,820
NB1T58,22,5,6,6,0,68,808633668,2025-06-18,1,275,6,539,5924,807
NB1T58,22,5,6,5,0,69,1077069125,2025-06-18,1,276,8,539,6012,835
NB1T58,22,5,6,4,0,70,1077069126,2025-06-18,1,275,8,539,6130,847
NB1T58,22,5,6,3,0,71,1882375495,2025-06-18,1,273,14,546,6413,865
NB1T58,22,5,6,2,0,72,1345504584,2025-06-18,1,276,10,544,6169,845
NB1T58,22,5,6,1,0,73,1613940041,2025-06-18,1,274,12,541,6165,866
NB1T58,22,5,6,0,0,74,1345504586,2025-06-18,1,273,10,543,6471,855
NB1T58,22,5,6,-1,0,75,1345504587,2025-06-18,1,272,10,542,6341,832
NB1T58,22,5,6,-2,0,76,1077069132,2025-06-18,1,275,8,541,6261,841
NB1T58,22,5,6,-3,0,77,1345504589,2025-06-18,1,274,10,539,5998,858
NB1T58,22,5,6,-4,0,78,1077069134,2025-06-18,1,280,8,530,5908,832
NB1T58,22,5,6,-5,0,79,1479722319,2025-06-18,1,274,11,533,5860,823
NB1T58,22,5,6,-6,0,80,942851408,2025-06-18,1,277,7,530,5940,813
NB1T58,22,5,6,-7,0,81,1077069137,2025-06-18,1,272,8,525,5842,817
NB1T58,22,5,6,-8,0,82,1211286866,2025-06-18,1,276,9,537,6177,867
NB1T58,22,5,6,-9,0,83,1074971987,2025-06-18,0,278,8,537,6091,838
NB1T58,22,5,5,-9,0,84,1211286868,2025-06-18,1,274,9,538,6159,857
NB1T58,22,5,5,-8,0,85,1882375509,2025-06-18,1,271,14,536,5818,876
NB1T58,22,5,5,-7,0,86,1211286870,2025-06-18,1,272,9,526,5697,847
NB1T58,22,5,5,-6,0,87,1345504599,2025-06-18,1,277,10,528,5739,864
NB1T58,22,5,5,-5,0,88,942851416,2025-06-18,1,278,7,534,5967,817
NB1T58,22,5,5,-4,0,89,1077069145,2025-06-18,1,276,8,537,6053,852
NB1T58,22,5,5,-3,0,90,1345504602,2025-06-18,1,272,10,539,6168,828
NB1T58,22,5,5,-2,0,91,1077069147,2025-06-18,1,274,8,544,6372,836
NB1T58,22,5,5,-1,0,92,942851420,2025-06-18,1,277,7,544,6109,831
NB1T58,22,5,5,0,0,93,1211286877,2025-06-18,1,276,9,546,6662,836
NB1T58,22,5,5,1,0,94,1345504606,2025-06-18,1,276,10,547,6785,848
NB1T58,22,5,5,2,0,95,1345504607,2025-06-18,1,275,10,544,6443,856
NB1T58,22,5,5,3,0,96,1211286880,2025-06-18,1,275,9,545,6528,829
NB1T58,22,5,5,4,0,97,942851425,2025-06-18,1,277,7,543,6238,825
NB1T58,22,5,5,5,0,98,1345504610,2025-06-18,1,275,10,540,6172,859
NB1T58,22,5,5,6,0,99,1748157795,2025-06-18,1,269,13,542,6363,855
NB1T58,22,5,5,7,0,100,1077069156,2025-06-18,1,275,8,541,6221,823
NB1T58,22,5,5,8,0,101,1613940069,2025-06-18,1,274,12,538,6027,858
NB1T58,22,5,5,9,0,102,1077069158,2025-06-18,1,276,8,535,5796,837
NB1T58,22,5,5,10,0,103,1345504615,2025-06-18,1,273,10,525,5926,842
NB1T58,22,5,5,11,0,104,1209189736,2025-06-18,0,276,9,523,5739,810
NB1T58,22,5,5,12,0,105,1077069161,2025-06-18,1,276,8,530,6029,835
NB1T58,22,5,5,13,0,106,1345504618,2025-06-18,1,273,10,530,6240,849
NB1T58,22,5,4,13,0,107,942851435,2025-06-18,1,274,7,531,6196,827
NB1T58,22,5,4,12,0,108,1077069164,2025-06-18,1,275,8,529,6011,844
NB1T58,22,5,4,11,0,109,942851437,2025-06-18,1,277,7,527,5726,811
NB1T58,22,5,4,10,0,110,808633710,2025-06-18,1,276,6,526,5872,819
NB1T58,22,5,4,9,0,111,1479722351,2025-06-18,1,275,11,539,6090,823
NB1T58,22,5,4,8,0,112,1345504624,2025-06-18,1,277,10,537,6204,829
NB1T58,22,5,4,7,0,113,808633713,2025-06-18,1,277,6,538,6171,788
NB1T58,22,5,4,6,0,114,942851442,2025-06-18,1,276,7,542,6291,798
NB1T58,22,5,4,5,0,115,1077069171,2025-06-18,1,278,8,549,6345,821
NB1T58,22,5,4,4,0,116,1479722356,2025-06-18,1,275,11,545,6468,843
NB1T58,22,5,4,3,0,117,1613940085,2025-06-18,1,271,12,548,6505,872
NB1T58,22,5,4,2,0,118,1345504630,2025-06-18,1,277,10,544,6696,846
NB1T58,22,5,4,1,0,119,1479722359,2025-06-18,1,274,11,544,6451,833
NB1T58,22,5,4,0,0,120,1748157816,2025-06-18,1,272,13,546,6641,868
NB1T58,22,5,4,-1,0,121,1077069177,2025-06-18,1,277,8,541,6336,829
NB1T58,22,5,4,-2,0,122,1211286906,2025-06-18,1,275,9,539,6428,818
NB1T58,22,5,4,-3,0,123,1077069179,2025-06-18,1,277,8,540,5984,834
NB1T58,22,5,4,-4,0,124,1882375548,2025-06-18,1,270,14,533,5877,887
NB1T58,22,5,4,-5,0,125,942851453,2025-06-18,1,275,7,532,5715,819
NB1T58,22,5,4,-6,0,126,1345504638,2025-06-18,1,276,10,532,6032,831
NB1T58,22,5,4,-7,0,127,1077069183,2025-06-18,1,274,8,530,5874,849
NB1T58,22,5,4,-8,0,128,1211286912,2025-06-18,1,275,9,533,6154,841
