* RegName			Page			Addr			Defval			Value
*--------------------------------------------------------------------------------
*  Periphery register map
*--------------------------------------------------------------------------------
THTRIMMING_S114			0x0			0x271			0xf			0xf
THTRIMMING_S115			0x0			0x272			0xf			0xf
THTRIMMING_S116			0x0			0x273			0xf			0xf
THTRIMMING_S117			0x0			0x274			0xf			0xf
THTRIMMING_S118			0x0			0x275			0xf			0xf
THTRIMMING_S119			0x0			0x276			0xf			0xf
THTRIMMING_S120			0x0			0x277			0xf			0xf
AC_ReadCounterMSB_S1			0x0			0x600			0x0			0x0
AC_ReadCounterMSB_S2			0x0			0x601			0x0			0x0
AC_ReadCounterMSB_S3			0x0			0x602			0x0			0x0
AC_ReadCounterMSB_S4			0x0			0x603			0x0			0x0
AC_ReadCounterMSB_S5			0x0			0x604			0x0			0x0
AC_ReadCounterMSB_S6			0x0			0x605			0x0			0x0
AC_ReadCounterMSB_S7			0x0			0x606			0x0			0x0
AC_ReadCounterMSB_S8			0x0			0x607			0x0			0x0
AC_ReadCounterMSB_S9			0x0			0x608			0x0			0x0
AC_ReadCounterMSB_S10			0x0			0x609			0x0			0x0
AC_ReadCounterMSB_S11			0x0			0x60a			0x0			0x0
AC_ReadCounterMSB_S12			0x0			0x60b			0x0			0x0
AC_ReadCounterMSB_S13			0x0			0x60c			0x0			0x0
AC_ReadCounterMSB_S14			0x0			0x60d			0x0			0x0
AC_ReadCounterMSB_S15			0x0			0x60e			0x0			0x0
AC_ReadCounterMSB_S16			0x0			0x60f			0x0			0x0
AC_ReadCounterMSB_S17			0x0			0x610			0x0			0x0
AC_ReadCounterMSB_S18			0x0			0x611			0x0			0x0
AC_ReadCounterMSB_S19			0x0			0x612			0x0			0x0
AC_ReadCounterMSB_S20			0x0			0x613			0x0			0x0
AC_ReadCounterMSB_S21			0x0			0x614			0x0			0x0
AC_ReadCounterMSB_S22			0x0			0x615			0x0			0x0
AC_ReadCounterMSB_S23			0x0			0x616			0x0			0x0
AC_ReadCounterMSB_S24			0x0			0x617			0x0			0x0
AC_ReadCounterMSB_S25			0x0			0x618			0x0			0x0
AC_ReadCounterMSB_S26			0x0			0x619			0x0			0x0
AC_ReadCounterMSB_S27			0x0			0x61a			0x0			0x0
AC_ReadCounterMSB_S28			0x0			0x61b			0x0			0x0
AC_ReadCounterMSB_S29			0x0			0x61c			0x0			0x0
AC_ReadCounterMSB_S30			0x0			0x61d			0x0			0x0
AC_ReadCounterMSB_S31			0x0			0x61e			0x0			0x0
AC_ReadCounterMSB_S32			0x0			0x61f			0x0			0x0
AC_ReadCounterMSB_S33			0x0			0x620			0x0			0x0
AC_ReadCounterMSB_S34			0x0			0x621			0x0			0x0
AC_ReadCounterMSB_S35			0x0			0x622			0x0			0x0
AC_ReadCounterMSB_S36			0x0			0x623			0x0			0x0
AC_ReadCounterMSB_S37			0x0			0x624			0x0			0x0
AC_ReadCounterMSB_S38			0x0			0x625			0x0			0x0
AC_ReadCounterMSB_S39			0x0			0x626			0x0			0x0
